host_is_superhost,host_listings_count,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
f,1.0,Old West Austin,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,200.0,200.0,25.0,1,0.0,1,t,27,52,52,274,1,t,flexible
f,1.0,Old West Austin,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,125.0,0.0,0.0,1,0.0,1,t,26,56,86,355,3,f,flexible
f,1.0,Tarrytown,House,Entire home/apt,8,3.0,4.0,5.0,Real Bed,700.0,500.0,200.0,1,0.0,3,t,26,56,86,351,0,f,moderate
f,1.0,Tarrytown,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,500.0,0.0,0.0,1,0.0,4,t,30,60,90,365,0,f,strict
f,1.0,Old West Austin,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,119.0,500.0,50.0,4,40.0,2,t,22,52,82,344,30,t,strict
f,1.0,Old West Austin,House,Entire home/apt,5,1.0,2.0,4.0,Real Bed,160.0,150.0,65.0,4,20.0,2,t,10,27,33,285,1,f,moderate
f,1.0,Old West Austin,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,169.0,0.0,0.0,2,0.0,1,t,29,59,89,364,16,f,strict
f,2.0,West Austin,House,Entire home/apt,6,3.0,3.0,3.0,Real Bed,950.0,0.0,199.0,1,0.0,3,t,30,60,90,365,0,f,strict
f,1.0,Old West Austin,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,150.0,250.0,100.0,1,0.0,2,t,0,0,0,0,1,f,strict
t,4.0,Old West Austin,House,Shared room,1,1.0,1.0,1.0,Couch,80.0,0.0,0.0,1,0.0,1,t,28,53,53,271,9,t,flexible
t,1.0,Old West Austin,House,Entire home/apt,10,3.0,4.0,7.0,Real Bed,795.0,1000.0,0.0,10,50.0,2,t,13,36,64,303,25,f,strict
f,1.0,Old West Austin,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,410.0,0.0,85.0,4,100.0,3,t,30,56,86,357,5,f,strict
f,1.0,Bryker Woods,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,175.0,150.0,25.0,2,25.0,1,t,0,15,18,293,4,f,strict
f,2.0,Clarksville,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,99.0,700.0,45.0,1,30.0,1,t,20,50,80,355,13,f,flexible
f,3.0,Clarksville,House,Entire home/apt,10,2.0,3.0,4.0,Real Bed,750.0,3000.0,200.0,1,0.0,3,t,20,42,64,259,2,f,moderate
f,5.0,Old West Austin,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,89.0,400.0,79.0,1,0.0,1,t,8,38,68,343,25,t,strict
f,1.0,Downtown,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,400.0,0.0,75.0,1,0.0,2,t,28,58,88,363,1,f,strict
f,301.0,Tarrytown,House,Entire home/apt,8,4.5,4.0,4.0,Real Bed,1899.0,0.0,235.0,1,0.0,2,t,0,0,0,0,0,f,strict
f,1.0,Old West Austin,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,288.0,0.0,0.0,1,0.0,1,t,0,0,0,229,0,f,flexible
